,time,load,forecast_load,wind,forecast_wind,solar,forecast_solar,inertia,forecast_other_generation,other_generation
804,2021-02-03 15:00:00,38251.13913,38770.19921875,12985.17729,12471.2,4094.564557,4313.6,170632.2914,21985.399218749997,21171.397283000002
805,2021-02-03 16:00:00,38322.96754,38565.1015625,15087.1178,14348.5,4071.803614,4120.1,168922.4361,20096.5015625,19164.046125999997
806,2021-02-03 17:00:00,38655.7401,38486.69921875,16800.62047,16668.9,3180.757309,3330.9,165693.1135,18486.899218749997,18674.362321
807,2021-02-03 18:00:00,39058.53908,39080.8984375,17425.3207,18103.9,1110.915423,1088.5,164107.6059,19888.4984375,20522.302957000004
808,2021-02-03 19:00:00,40597.2922,40509.6015625,19247.57305,20911.100000000002,37.65642834,59.0,162937.9174,19539.501562499998,21312.062721660004
809,2021-02-03 20:00:00,40855.02577,40929.6015625,21607.85447,23725.7,0.062751494,0.0,155778.0568,17203.9015625,19247.108548506003
810,2021-02-03 21:00:00,40127.18229,40244.6015625,22413.96237,24392.8,0.062751494,0.0,145881.5584,15851.8015625,17713.157168505997
811,2021-02-03 22:00:00,38704.97924,39062.1015625,22025.89245,25111.600000000002,0.062751494,0.0,144541.6754,13950.501562499998,16679.024038506002
812,2021-02-03 23:00:00,36553.78782,37068.1015625,21240.24476,25725.9,0.062751494,0.0,143328.7336,11342.201562499999,15313.480308505996
813,2021-02-04 00:00:00,34339.98738,34533.6015625,19697.68188,25668.7,0.062751494,0.0,142783.7656,8864.9015625,14642.242748505998
814,2021-02-04 01:00:00,32801.54057,33272.30078125,18826.06004,25586.4,0.062751494,0.0,142102.9366,7685.9007812499985,13975.417778505996
815,2021-02-04 02:00:00,31886.78822,31953.69921875,18253.27231,25146.0,0.062751494,0.0,141033.0625,6807.69921875,13633.453158505998
816,2021-02-04 03:00:00,31313.00123,31305.0,17782.30555,24504.5,0.062751494,0.0,141033.0625,6800.5,13530.632928506
817,2021-02-04 04:00:00,31186.09211,31064.69921875,17609.74959,23757.9,0.062751494,0.0,141033.0625,7306.7992187499985,13576.279768506001
818,2021-02-04 05:00:00,31808.14209,31726.80078125,18076.59207,22809.100000000002,0.062751494,0.0,143281.0766,8917.700781249998,13731.487268506002
819,2021-02-04 06:00:00,33541.92332,33457.1015625,19224.47121,21882.9,0.062751494,0.0,146685.0229,11574.201562499999,14317.389358506001
820,2021-02-04 07:00:00,36382.77997,36434.5,19205.80617,21421.3,0.065617601,0.0,151021.635,15013.2,17176.908182399
821,2021-02-04 08:00:00,37892.55866,38359.30078125,18773.79512,20872.3,20.68715534,37.1,152831.7881,17449.900781250002,19098.076384660002
822,2021-02-04 09:00:00,38335.08861,38316.8984375,18055.18458,20263.9,931.2915226,928.8000000000001,154944.5942,17124.1984375,19348.612507399997
823,2021-02-04 10:00:00,38992.98859,38318.1015625,19067.46813,19628.9,2092.957778,3215.1,159447.8008,15474.101562499998,17832.562682
824,2021-02-04 11:00:00,39436.99033,38798.19921875,19518.57271,20097.3,1980.107976,3994.2000000000003,161819.878,14706.69921875,17938.309644
825,2021-02-04 12:00:00,39724.61924,39514.30078125,18861.28108,19614.4,2628.990498,4032.8,160645.1868,15867.10078125,18234.347662
826,2021-02-04 13:00:00,39948.12629,40135.80078125,17265.05837,18332.8,3733.542281,4147.3,162445.86,17655.70078125,18949.525639
827,2021-02-04 14:00:00,40058.88095,40023.1015625,14977.93099,15810.2,3957.719457,4016.2000000000003,167514.4879,20196.7015625,21123.230503
828,2021-02-04 15:00:00,39829.82826,39630.69921875,12081.39354,12961.0,3933.404212,3833.9,178823.7592,22835.79921875,23815.030508000003
829,2021-02-04 16:00:00,39958.55354,39737.19921875,10058.18261,10721.800000000001,4051.971429,3693.0,192304.341,25322.399218749997,25848.399501
830,2021-02-04 17:00:00,40009.16201,40488.69921875,8066.091383,9029.6,3127.001597,3415.4,199500.4435,28043.69921875,28816.069030000002
831,2021-02-04 18:00:00,40023.11868,40340.8984375,7188.437522,8156.0,1487.158043,1154.0,207070.0856,31030.8984375,31347.523115
832,2021-02-04 19:00:00,41280.94848,41031.30078125,7595.508346,8565.2,45.24307564,51.6,214289.8579,32414.50078125,33640.19705836
